user,cas_id,timestamp
5752,12730,128535.0
2607,12730,1285351494.0
8379,12730,128535152.0
2402,12730,1285351586.0
10558,12730,128535161.0
12541,12730,128535168.0
2624,12730,1285351857.0
10108,12730,1285352167.0
12188,12730,1285352369.0
5745,12730,1285353656.0
12587,12730,1285356934.0
4824,12730,1285362758.0
6721,12730,1285365899.0
8524,12730,1285374501.0
4630,12730,1285374726.0
9000,14048,1285027.0
12533,14048,1285027203.0
7784,14048,1285064501.0
435,14048,1285074576.0
993,14048,1285083988.0
8315,14048,12851091.0
892,14048,1285151705.0
6425,14048,1285242253.0
4696,14048,1285329072.0
10204,14048,1285402724.0
7752,14048,1285403935.0
4116,14048,1285418033.0
2929,14048,1285461824.0
321,14048,1285479051.0
9084,14048,1285554907.0
5982,14048,1285598484.0
7957,14048,1285600486.0
4797,14048,1285604706.0
8272,14048,1285663383.0
9191,14048,1285693361.0
10802,14048,1285708396.0
4163,14048,1285727862.0
4196,14048,1285762427.0
762,14048,1285772201.0
6439,14048,1285830021.0
10255,14048,128585059.0
3832,14048,1285925856.0
5115,14553,1285139.0
10241,14553,1285146256.0
9875,14553,1285148588.0
11197,14553,1285155632.0
8570,14553,1285218704.0
4290,14553,1285224401.0
8211,14553,1285230887.0
920,14553,1285235527.0
9119,14553,1285236259.0
9732,14553,1285246336.0
7953,14553,1285305877.0
571,14553,1285305887.0
5270,14553,1285305988.0
11851,14553,1285397986.0
8118,14553,1285398085.0
953,14553,1285401544.0
3768,14553,1285404211.0
4087,14553,1285406227.0
12112,14553,1285406888.0
10372,14553,1285419189.0
5267,14553,12854967.0
6925,14553,1285503627.0
11179,14553,1285504379.0
5470,14553,1285505282.0
6070,14553,1285516859.0
4948,14553,128551902.0
6841,14553,1285520477.0
5347,14553,1285521776.0
7350,15771,1285289.0
7147,15771,1285290603.0
8778,15771,1285293561.0
1908,15771,1285294437.0
5780,15771,1285294437.0
8526,15771,1285294446.0
5343,15771,1285294643.0
883,15771,1285298133.0
987,15771,1285299562.0
8728,15771,1285300045.0
12485,15771,1285301731.0
7768,15771,1285301964.0
3251,15771,1285305698.0
11978,15771,1285305733.0
10134,15771,1285385368.0
1615,15771,1285389462.0
3624,15771,1285393044.0
4430,15771,1285394962.0
781,13433,1285463.0
7118,13433,1285463023.0
6109,13433,1285463118.0
7802,13433,1285463764.0
9974,13433,1285463841.0
3989,13433,1285463996.0
2761,13433,1285464156.0
1993,13433,1285464236.0
3067,13433,1285464243.0
10547,13433,1285464252.0
9208,13433,1285464453.0
606,13433,1285464556.0
8051,13433,1285465444.0
1718,13433,1285469067.0
4298,13433,1285470018.0
6075,13433,1285470066.0
5752,12914,12850122.0
